State;Year;Real GDP (1997 chained millions)
Missouri;1990;122284,6
Montana;1990;15355,3
Nebraska;1990;39011,3
Nevada;1990;36891,1
New England;1990;404914,2
New Hampshire;1990;27259,3
New Jersey;1990;253359,6
New Mexico;1990;28714,4
New York;1990;595908,1
North Carolina;1990;161997,7
North Dakota;1990;13161,2
Ohio;1990;264948,4
Oklahoma;1990;67083,3
Oregon;1990;64880,6
Pennsylvania;1990;288954,9
Plains;1990;433340,6
Rhode Island;1990;25936,7
Rocky Mountain;1990;174757,7
South Carolina;1990;75343,8
South Dakota;1990;14696
Southeast;1990;1382836
Southwest;1990;614112,8
Tennessee;1990;110320,8
Texas;1990;437291,6
Utah;1990;36697,4
Vermont;1990;13313,4
Virginia;1990;173022
Washington;1990;141945,5
West Virginia;1990;31349,2
Wisconsin;1990;115638,2
Wyoming;1990;13673,1
Alabama;1991;86115,5
Alaska;1991;25821,4
Arizona;1991;81945,8
Arkansas;1991;46497,8
California;1991;893112,2
Colorado;1991;90780,1
Connecticut;1991;118215,9
Delaware;1991;26929,5
District of Columbia;1991;50240,5
Far West;1991;1207739
Florida;1991;305979,1
Georgia;1991;167209,2
Great Lakes;1991;1057697
Hawaii;1991;39755,7
Idaho;1991;20592,5
Illinois;1991;323640,5
Indiana;1991;128214,7
Iowa;1991;63818,2
Kansas;1991;61275,1
Kentucky;1991;78908,3
Louisiana;1991;110054,6
Maine;1991;26835,5
Maryland;1991;133661,9
Massachusetts;1991;183995,8
Michigan;1991;225575,9
Mideast;1991;1330568
Minnesota;1991;120066,6
Mississippi;1991;45840,8
Missouri;1991;124166,6
Montana;1991;15739,2
Nebraska;1991;40249,9
Nevada;1991;37713,4
New England;1991;394302,5
New Hampshire;1991;27411,3
New Jersey;1991;252718,1
New Mexico;1991;31979,5
New York;1991;577446
North Carolina;1991;162239,2
North Dakota;1991;13118,2
Ohio;1991;263064,2
Oklahoma;1991;67423,6
Oregon;1991;65968,6
Pennsylvania;1991;289708,2
Plains;1991;438078,6
Rhode Island;1991;25004,8
Rocky Mountain;1991;179275,5
South Carolina;1991;76009,8
South Dakota;1991;15410,6
Southeast;1991;1397392
Southwest;1991;625303
Tennessee;1991;114265,7
Texas;1991;444358
Utah;1991;38105,1
Vermont;1991;12952,3
Virginia;1991;172406,8
Washington;1991;145049,5
West Virginia;1991;31985,7
Wisconsin;1991;117167
Wyoming;1991;14118,3
Alabama;1992;89813,9
Alaska;1992;26150,7
Arizona;1992;90282
Arkansas;1992;49260,3
California;1992;891630,9
Colorado;1992;97058,4
Connecticut;1992;119831,9
Delaware;1992;27177,7
District of Columbia;1992;50597,6
Far West;1992;1218219
Florida;1992;317416,4
Georgia;1992;176730,9
Great Lakes;1992;1106985
Hawaii;1992;40834,4
Idaho;1992;22021,9
Illinois;1992;336296
Indiana;1992;136438,5
Iowa;1992;66861,6
Kansas;1992;63062
Kentucky;1992;83287,8
Louisiana;1992;102935,3
Maine;1992;27175,6
Maryland;1992;134748
Massachusetts;1992;186430,3
Michigan;1992;235240,6
Mideast;1992;1353418
Minnesota;1992;126777,3
Mississippi;1992;48317,4
Missouri;1992;127857,2
Montana;1992;16566
Nebraska;1992;42241,9
Nevada;1992;40563,9
New England;1992;400774,4
